B aaa
C1#CCC2C3CCC45CCCC4CCC(N4CC46CCCC6C1)C25CC3 afJ
C1#CCC2C3CCCC24C(CCC2CCC(C1)O2)CCC4CC3 afK
C1#CCC2C3CCCC4C3CCC2C2C(CC1)CCC42 afL
C1#CCC2C=CCC3CCC4CCC(CC4C23)OCCCC1 afM
C1#CCC2CC#CC3CC(C1)C1CC4C=CC5CC6(C=CCCC6)C6CCC(=C4C526)C1C3 afN
C1#CCC2CC#CC3CC(OC2)C2CCCCC2(CC1)C3 afO
C1#CCC2CC(CCN2)NCCCCCCC1 afP
C1#CCC2CC3(CCCCO3)Oc3ccc4c(c32)NC(CC1)C4 afQ
C1#CCC2CC3C(CC1)CCC3C1CC=CC2C1 afR
C1#CCC2CC3C=C4C(CCCC45CCCC3C5CC1)c1cccc(c1)Cc1cccc(c1)CNC=N2 afS
C1#CCC2CC3C=C4C(CCCC4C(CC1)C3)c1cccc(c1)Cc1ccc3c(c1)C(CCC3)NCN2 afT
C1#CCC2CC3C=C4C(CCCC4C(CC1)C3)c1cccc(c1)Cc1cccc(c1)C1(CCCCC1)NCN2 afU
C1#CCC2CC3C=C4C(CCCC4C(CC1)C3)c1cccc(c1)Cc1cccc(c1)CNC=N2 afV
C1#CCC2CC3C=C4C(CCCC4C(CC1)C3)c1cccc(c1)Cc1cccc(c1)CNCN2 afW
C1#CCC2CC3CCC2C2C(CC1)CCC2C3 afX
C1#CCC2CC3CCCC4=C3C3C(CC4)CC(CCC4CCC(C1)O4)C23 afY
C1#CCC2CCC(C2)Oc2cccc(c2)C2CCCC(CC1)O2 afZ
C1#CCC2CCC(CC1)CC21CCCC1 aga
C1#CCC2CCC(CC1)CC2C1=CCCC[CH2:2]1 agb
C1#CCC2CCC(OCC1)OC2 agc
C1#CCC2CCC3(CCCC(CCCC1)C3)C2 agd
C1#CCC2CCC3C=CCC2C3CCCCC2CCCC2C1 age
C1#CCC2CCC3CC(C1)CC1C=CCCC2C13 agf
C1#CCC2CCC=C2C#CCC1 agg
C1#CCC2CCC=CC2C2CCCC(Oc3cccc4ccc(cc34)CC1)O2 agh
C1#CCC2CCCC23C2CCC4CC5CCC6CCC5(C6C1)C(C4)N23 agi
C1#CCC2CCCC23CN3CCCC1 agj
C1#CCC2CCCC2CC2CCCC(CC1)CC2 agk
C1#CCC2CCCC2CCCCC2C3C=CCC2C(C=C3)C1 agl
C1#CCC2CCCC2CCCCC2CC=CC(C1)C2 agm
C1#CCC2CCCC2CCCCCCCC1 agn
C1#CCC2CCCC34CCCCCC56CCC3=C3C(C=CC(CC57C=CCCC7)C36CC1)CC24 ago
C1#CCC2CCCC34CCCCCC56CCCC5(CC1)C(=C3CC6)CCC24 agp
C1#CCC2CCCC3C4=C(CCC23)C2(CC1)CCCC2CC4 agq
C1#CCC2CCCC3C4=C5C(C=C6CC7=C8C(=CC7)C7CCCC9C=CC%10%11C(CC=CCC%10(CC4)C5(CC1)C6C8%11)C97)C(C1=CCCCC1)C23 agr
C1#CCC2CCCC3C4=C5C(C=C6CC7=C8C(=CC7)C7CCCC9C=CC%10%11C(CCCCC%10(CC4)C5(CC1)C6C8%11)C97)C(C1=CCCCC1)C23 ags
